month,inflation_pct,usd_tzs_rate,brent_oil_usd,m2_bn_tzs,bot_policy_rate_pct
Jan-18,4.000000,2250.800000,69.080000,18541950.610000,12.000000
Feb-18,4.100000,2255.900000,65.320000,18179696.270000,12.000000
Mar-18,3.900000,2259.800000,66.020000,18189807.790000,12.000000
Apr-18,3.800000,2273.600000,72.110000,18074492.880000,12.000000
May-18,3.600000,2276.800000,76.980000,18304657.460000,12.000000
Jun-18,3.400000,2277.700000,74.410000,18951216.540000,12.000000
Jul-18,3.300000,2282.600000,74.250000,18265656.360000,12.000000
Aug-18,3.300000,2286.200000,72.530000,18437420.840000,12.000000
Sep-18,3.400000,2288.800000,78.890000,18601435.650000,12.000000
Oct-18,3.200000,2290.800000,81.030000,18560944.830000,12.000000
Nov-18,3.000000,2290.100000,64.750000,18892963.660000,12.000000
Dec-18,3.300000,2292.600000,57.360000,19040389.450000,12.000000
Jan-19,3.000000,2294.800000,59.410000,18966446.950000,12.000000
Feb-19,3.000000,2289.000000,63.960000,19277142.040000,12.000000
Mar-19,3.100000,2289.500000,66.140000,18985498.520000,12.000000
Apr-19,3.200000,2289.500000,71.230000,19335555.480000,12.000000
May-19,3.500000,2288.600000,71.320000,19627211.000000,12.000000
Jun-19,3.700000,2289.500000,64.220000,21002135.230000,12.000000
Jul-19,3.700000,2289.200000,63.920000,20398595.420000,12.000000
Aug-19,3.600000,2289.400000,59.040000,20533178.920000,12.000000
Sep-19,3.400000,2289.400000,62.830000,20429634.340000,12.000000
Oct-19,3.600000,2288.800000,59.710000,20771328.040000,12.000000
Nov-19,3.800000,2288.300000,63.210000,21067683.150000,12.000000
Dec-19,3.800000,2287.900000,67.310000,21280259.310000,12.000000
Jan-20,3.700000,2288.600000,63.650000,21131346.490000,12.000000
Feb-20,3.700000,2289.400000,55.660000,21262749.210000,12.000000
Mar-20,3.400000,2289.900000,32.010000,21032490.620000,12.000000
Apr-20,3.300000,2291.300000,18.380000,22026903.020000,12.000000
May-20,3.200000,2291.900000,29.380000,22151096.190000,12.000000
Jun-20,3.200000,2296.500000,40.270000,23211584.290000,12.000000
Jul-20,3.300000,2297.800000,43.240000,22567330.770000,12.000000
Aug-20,3.300000,2297.600000,44.740000,22634294.240000,12.000000
Sep-20,3.100000,2297.600000,40.910000,22290576.480000,12.000000
Oct-20,3.100000,2297.700000,40.190000,22996811.650000,12.000000
Nov-20,3.000000,2297.700000,42.690000,22905661.530000,12.000000
Dec-20,3.200000,2298.500000,49.990000,23032617.210000,12.000000
Jan-21,3.500000,2298.500000,54.770000,22756298.260000,12.000000
Feb-21,3.300000,2298.500000,62.280000,22764020.280000,12.000000
Mar-21,3.200000,2298.500000,65.410000,22991833.590000,12.000000
Apr-21,3.300000,2298.500000,64.810000,23585469.700000,12.000000
May-21,3.300000,2298.600000,68.530000,23846180.220000,12.000000
Jun-21,3.600000,2298.900000,73.160000,25635898.360000,12.000000
Jul-21,3.800000,2299.200000,75.170000,25303256.350000,12.000000
Aug-21,3.800000,2299.500000,70.750000,25490615.920000,12.000000
Sep-21,4.000000,2297.300000,74.490000,25620023.650000,12.000000
Oct-21,4.000000,2293.800000,83.540000,26369794.830000,12.000000
Nov-21,4.100000,2294.200000,81.050000,26834602.090000,12.000000
Dec-21,4.200000,2295.200000,74.170000,27088350.050000,12.000000
Jan-22,4.000000,2298.100000,86.510000,27062212.410000,12.000000
Feb-22,3.700000,2298.300000,97.130000,27511521.350000,12.000000
Mar-22,3.600000,2298.500000,117.250000,26504570.510000,12.000000
Apr-22,3.800000,2298.900000,104.580000,26861453.450000,12.000000
May-22,4.000000,2300.700000,113.340000,26605320.400000,12.000000
Jun-22,4.400000,2304.200000,122.710000,27621692.480000,12.000000
Jul-22,4.500000,2304.000000,111.930000,27764759.090000,12.000000
Aug-22,4.600000,2305.100000,100.450000,28718509.900000,12.000000
Sep-22,4.800000,2307.900000,89.760000,29322346.930000,12.000000
Oct-22,4.900000,2308.300000,93.330000,29822966.750000,12.000000
Nov-22,4.900000,2308.500000,91.420000,29904355.100000,12.000000
Dec-22,4.800000,2308.900000,80.920000,30378873.540000,12.000000
Jan-23,4.900000,2309.300000,83.090000,30383836.770000,12.000000
Feb-23,4.800000,2309.900000,82.710000,30479832.780000,12.000000
Mar-23,4.700000,2311.400000,78.530000,30495473.430000,12.000000
Apr-23,4.300000,2313.500000,84.110000,31048846.260000,12.000000
May-23,4.000000,2319.200000,75.700000,31342685.210000,12.000000
Jun-23,3.600000,2327.500000,74.890000,32593687.340000,12.000000
Jul-23,3.300000,2383.100000,80.100000,32811692.040000,12.000000
Aug-23,3.300000,2443.800000,86.160000,33286596.030000,12.000000
Sep-23,3.300000,2481.800000,94.000000,33425163.690000,12.000000
Oct-23,3.200000,2480.900000,91.060000,33459608.220000,12.000000
Nov-23,3.200000,2509.200000,83.180000,33436399.490000,12.000000
Dec-23,3.000000,2506.000000,77.860000,34001732.730000,12.000000
Jan-24,3.000000,2517.300000,80.230000,33766927.540000,5.500000
Feb-24,3.000000,2543.200000,83.760000,33836739.680000,5.500000
Mar-24,3.000000,2556.900000,85.450000,34130076.200000,5.500000
Apr-24,3.100000,2572.700000,90.050000,33825297.870000,6.000000
May-24,3.100000,2600.900000,82.000000,34246942.430000,6.000000
Jun-24,3.100000,2626.900000,82.560000,35265988.450000,6.000000
Jul-24,3.000000,2673.900000,85.300000,35480597.140000,6.000000
Aug-24,3.100000,2681.700000,80.860000,35693732.290000,6.000000
Sep-24,3.100000,2718.500000,74.290000,35636628.000000,6.000000
Oct-24,3.000000,2693.100000,75.660000,36498020.030000,6.000000
Nov-24,3.000000,2620.600000,74.400000,37172493.600000,6.000000
Dec-24,3.100000,2394.800000,73.830000,37139746.780000,6.000000
Jan-25,3.055092,2445.424987,79.206000,37415193.012052,6.000000
Feb-25,3.168785,2552.064943,75.157000,37796434.114190,6.000000
Mar-25,3.255362,2622.507197,72.574000,38536016.489777,6.000000
Apr-25,3.209426,2668.048787,67.745000,39491406.037325,6.000000
May-25,3.154504,2684.296955,64.206000,39798062.101955,6.000000
Jun-25,3.334462,2622.808197,71.450000,41713982.096396,6.000000
Jul-25,3.284607,2583.959410,70.951000,42637875.390648,5.750000
Aug-25,3.440082,2477.153603,68.203000,43988079.192808,5.750000
Sep-25,3.435367,2459.639660,67.951000,44516826.741579,5.750000
Oct-25,3.536876,2446.910516,64.651000,45906533.574203,5.750000
Nov-25,3.410771,2437.127653,63.609000,46828528.035548,5.750000
Dec-25,3.632576,2440.819516,62.720000,48143210.355273,5.750000
Jan-26,3.262193,2467.820116,66.766000,48353106.415040,5.750000
Feb-26,3.152958,2556.903379,71.114000,48499585.277682,5.750000
